Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
8/4/24,"August 2024: A school sheltering IDPs was hit by missiles fired by Israeli forces, killing at least 14 Palestinians. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Missile,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,14,0,0,0,0,0,77122
8/4/24,"03 August 2024: A school sheltering IDPs was destroyed by an Israeli airstrike, killing 17 people. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,17,0,0,0,0,0,73558
8/3/24,03 August 2024: An elementary school sheltering IDPs was raided by Israeli soldiers. ,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Firearms,Primary School,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,73492
8/3/24,August 2024: A school was occupied by the Myanmar military.,Myanmar,MMR,Magway,21.51985643,94.76333499,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,1,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,66926
8/3/24,03 August 2024: A university was destroyed by Israeli forces. ,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73525
8/3/24,August 2024: A school occupied by the Myanmar military was attacked with small firearms by a joint force of the PDF and local resistance forces.,Myanmar,MMR,Magway,21.51985643,94.76333499,(2) 25 km Precision ,Education Building ,Multiple,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,66892
8/3/24,August 2024: A school was hit and damaged by shelling by Syria regime forces. The school was out of service due to the displacement of the village's residents. ,Syria,SYR,Lattakia Governorate,35.57861975,35.98146907,"(4) Province, State, Governorate ",Education Building ,Other,Syrian Armed Forces,Shelling,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,77155
8/3/24,"03 August 2024: In a temporary shelter, a school sheltering IDPs was raided by Israeli soldiers.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Firearms,Pre-School,1,0,0,0,1,1,FALSE,0,0,0,0,0,0,0,0,0,0,82600
8/3/24,"August 2024: A school was hit and damaged when Hezbollah forces in Lebanon fired an anti-tank missile on the area. Hezbollah forces claimed to target a building being used by IDF soldiers. _x000D_
",Israel,ISR,North District,32.9646301,35.502451,"(3) District, Communicipality or Commune ",Education Building ,NSA,Hezbollah,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,77056
8/2/24,"02 August 2024: In a temporary shelter, a school sheltering IDPs was struck by Israeli airstrikes.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,82567
8/2/24,02 August 2024: A school sheltering IDPs was hit by Israeli aircraft. ,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73459
8/1/24,01 August 2024: A college and other civilian infrastructure were damaged by Russian artillery fire. ,Ukraine,UKR,Dnipropetrovsk Oblast,47.5692061,34.3917272,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Artillery,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73823
8/1/24,"01 August 2024: In a temporary shelter, 15 Palestinians were reportedly killed and about 29 others injured when a school was hit by suspected Israeli forces. The school was hosting thousands of IDPs and was destroyed.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,44,0,0,0,0,0,82469
8/1/24,"01 August 2024: A school sheltering thousands of IDPs was hit and destroyed by Israeli airstrikes at about 17:10, killing 15 Palestinians and injuring about 29 others. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,44,0,0,0,0,0,73426
8/1/24,01 August 2024: A school and other civilian infrastructure were damaged by Russian artillery fire. ,Ukraine,UKR,Dnipropetrovsk Oblast,47.5692061,34.3917272,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Artillery,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,73790
7/31/24,July 2024: A teacher and their child were arrested by the Myanmar military after withdrawing their salary.,Myanmar,MMR,Rakhine,18.84911186,94.23243459,(2) 25 km Precision ,Other,Other,Myanmar Armed Forces,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,0,1,0,0,0,0,0,0,69862
7/30/24,"July 2024: A university was attacked with artillery allegedly launched by a joint force of an ethnic armed group Myanmar National Democratic Alliance Army and the PDF, damaging the building.",Myanmar,MMR,Special Region 1,22.980234,97.75089768,(2) 25 km Precision ,Education Building ,Multiple,"Myanmar National Democratic Alliance Army, People's Defence Force (Myanmar)",Artillery,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,66599
7/30/24,July 2024: Senior Accountant with the Local Education Authority was killed when his vehicle ran into a roadside IED.,Nigeria,NGA,Borno State,12.1875392,13.3080034,"(4) Province, State, Governorate ",Private Travel,No Information,No Information,Unspecified IED,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,73195
7/29/24,"29 July 2024: A school was detonated by Israeli forces, destroying it.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,69633
7/27/24,27 July 2024: 22 IDPs were killed in a school and an unspecified number of others mainly women and children were injured.,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,23,0,0,0,0,0,69631
7/27/24,July 2024: The principal of the a departmental high school was killed and his vehicle taken by JNIM militants. ,Burkina Faso,BFA,Central-North,13.11559255,-0.943524491,"(3) District, Communicipality or Commune ",Private Travel,NSA,Jama'at Nasr al-Islam wal Muslimin,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,1,0,0,0,0,0,0,0,0,0,71713
7/27/24,"27 July 2024: An UNRWA school sheltering IDPs was hit by Israeli artillery, injuring an unspecified number of Palestinian children. _x000D_
",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Artillery,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,1,0,0,0,0,0,73393
