Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
3/14/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.58552143,34.37468111,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,80389
3/13/24,Myanmar,MMR,Rakhine,20.1818024,93.0691395,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,1,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,45934
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46796
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,Pre-School,1,0,0,0,0,1,TRUE,0,0,0,0,16,0,5,0,0,0,46790
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,Pre-School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46791
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46792
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46793
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46794
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46795
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46797
3/12/24,Ukraine,UKR,Dnipropetrovsk Oblast,47.9102734,33.3917703,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46798
3/12/24,Myanmar,MMR,Magway,19.965587,95.0367,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Drone,Secondary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,45932
3/11/24,Cameroon,CMR,Far-North,12.6904187,14.3207955,(2) 25 km Precision ,Education Building ,NSA,Boko Haram,Firearms,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,42930
3/10/24,Myanmar,MMR,Sagaing Region,23.1958442,94.014583,"(3) District, Communicipality or Commune ",Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46931
3/9/24,Haiti,HTI,West,18.53930919,-72.34146268,(2) 25 km Precision ,Education Building ,NSA,Unidentified Armed Actor,Firearms,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46800
3/9/24,Nigeria,NGA,Sokoto State,13.55321909,5.758535783,(2) 25 km Precision ,Education Building ,NSA,Unidentified Armed Actor,Firearms,School: No Further Details,1,0,0,0,0,0,TRUE,0,0,0,0,15,0,0,15,0,0,46673
